Id,y
9000,1.0
9001,7.0
9002,1.0
9003,6.0
9004,0.0
9005,0.0
9006,6.0
9007,8.0
9008,3.0
9009,6.0
9010,0.0
9011,9.0
9012,5.0
9013,8.0
9014,4.0
9015,3.0
9016,5.0
9017,2.0
9018,5.0
9019,3.0
9020,2.0
9021,8.0
9022,0.0
9023,6.0
9024,9.0
9025,1.0
9026,4.0
9027,2.0
9028,9.0
9029,1.0
9030,9.0
9031,4.0
9032,3.0
9033,5.0
9034,3.0
9035,3.0
9036,1.0
9037,5.0
9038,1.0
9039,1.0
9040,5.0
9041,4.0
9042,5.0
9043,4.0
9044,5.0
9045,1.0
9046,6.0
9047,8.0
9048,1.0
9049,8.0
9050,8.0
9051,6.0
9052,5.0
9053,4.0
9054,1.0
9055,7.0
9056,6.0
9057,5.0
9058,8.0
9059,4.0
9060,5.0
9061,0.0
9062,8.0
9063,8.0
9064,8.0
9065,1.0
9066,8.0
9067,7.0
9068,4.0
9069,4.0
9070,8.0
9071,5.0
9072,2.0
9073,2.0
9074,8.0
9075,6.0
9076,2.0
9077,9.0
9078,1.0
9079,6.0
9080,4.0
9081,7.0
9082,9.0
9083,9.0
9084,5.0
9085,1.0
9086,3.0
9087,1.0
9088,1.0
9089,6.0
9090,8.0
9091,3.0
9092,1.0
9093,9.0
9094,5.0
9095,4.0
9096,7.0
9097,1.0
9098,2.0
9099,5.0
9100,7.0
9101,7.0
9102,5.0
9103,7.0
9104,2.0
9105,5.0
9106,1.0
9107,7.0
9108,5.0
9109,3.0
9110,7.0
9111,1.0
9112,1.0
9113,7.0
9114,5.0
9115,8.0
9116,8.0
9117,0.0
9118,9.0
9119,3.0
9120,8.0
9121,9.0
9122,1.0
9123,7.0
9124,9.0
9125,7.0
9126,1.0
9127,7.0
9128,7.0
9129,7.0
9130,3.0
9131,9.0
9132,4.0
9133,5.0
9134,2.0
9135,1.0
9136,0.0
9137,7.0
9138,3.0
9139,7.0
9140,2.0
9141,7.0
9142,9.0
9143,5.0
9144,3.0
9145,6.0
9146,6.0
9147,8.0
9148,4.0
9149,8.0
9150,9.0
9151,8.0
9152,0.0
9153,1.0
9154,2.0
9155,9.0
9156,0.0
9157,8.0
9158,0.0
9159,8.0
9160,6.0
9161,8.0
9162,1.0
9163,8.0
9164,4.0
9165,2.0
9166,7.0
9167,6.0
9168,5.0
9169,3.0
9170,9.0
9171,0.0
9172,0.0
9173,4.0
9174,0.0
9175,3.0
9176,5.0
9177,0.0
9178,9.0
9179,8.0
9180,1.0
9181,1.0
9182,2.0
9183,8.0
9184,3.0
9185,6.0
9186,3.0
9187,7.0
9188,6.0
9189,5.0
9190,5.0
9191,7.0
9192,8.0
9193,8.0
9194,9.0
9195,1.0
9196,8.0
9197,2.0
9198,7.0
9199,2.0
9200,9.0
9201,2.0
9202,4.0
9203,6.0
9204,7.0
9205,8.0
9206,7.0
9207,1.0
9208,2.0
9209,1.0
9210,2.0
9211,4.0
9212,3.0
9213,2.0
9214,1.0
9215,1.0
9216,7.0
9217,7.0
9218,6.0
9219,5.0
9220,9.0
9221,3.0
9222,6.0
9223,0.0
9224,4.0
9225,0.0
9226,6.0
9227,8.0
9228,3.0
9229,6.0
9230,7.0
9231,1.0
9232,8.0
9233,9.0
9234,4.0
9235,0.0
9236,8.0
9237,3.0
9238,3.0
9239,2.0
9240,5.0
9241,7.0
9242,2.0
9243,0.0
9244,0.0
9245,1.0
9246,8.0
9247,5.0
9248,9.0
9249,8.0
9250,6.0
9251,0.0
9252,6.0
9253,2.0
9254,1.0
9255,0.0
9256,6.0
9257,8.0
9258,6.0
9259,7.0
9260,8.0
9261,6.0
9262,7.0
9263,1.0
9264,9.0
9265,8.0
9266,9.0
9267,1.0
9268,7.0
9269,5.0
9270,8.0
9271,9.0
9272,5.0
9273,8.0
9274,1.0
9275,5.0
9276,0.0
9277,8.0
9278,0.0
9279,0.0
9280,2.0
9281,8.0
9282,0.0
9283,2.0
9284,7.0
9285,0.0
9286,7.0
9287,9.0
9288,9.0
9289,0.0
9290,8.0
9291,1.0
9292,6.0
9293,6.0
9294,0.0
9295,2.0
9296,0.0
9297,8.0
9298,0.0
